dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
mnist,73,2,35,67.226,"['0.055', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.001, 0.9]",9,50,392,0.99,99.26,99.27,72.33,691.75,60.43,2712266,308.03
mnist,74,2,35,129.649,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.002, 0.85]",9,50,441,0.99,99.27,99.28,73.32,691.72,60.49,2712266,310.02
mnist,75,2,35,110.194,"['0.062', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.002, 0.95]",9,50,441,0.98,98.18,99.06,74.31,694.8,60.8,2712266,310.86
mnist,76,2,35,31.096,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.7]",9,50,490,0.98,98.09,98.72,75.29,695.13,57.17,2712266,312.27
mnist,77,2,35,119.849,"['0.061', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.008, 0.7]",9,50,637,0.98,98.3,98.46,76.27,694.59,57.64,2712266,314.87
mnist,78,2,35,88.037,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.007, 0.95]",9,50,637,0.98,98.15,98.39,77.25,694.84,58.24,2712266,315.66
mnist,79,2,35,53.197,"['0.055', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,882,0.99,98.86,98.91,78.24,692.85,47.15,2712266,319.34
mnist,80,2,35,46.29,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.95]",9,50,882,0.96,96.43,98.41,79.2,698.1,51.49,2712266,320.11
mnist,81,2,35,51.811,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.75]",9,50,49,0.99,99.07,99.22,80.2,692.37,56.62,2712266,333.89
mnist,82,2,35,121.344,"['0.061', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.009, 0.9]",9,50,49,0.99,99.06,99.19,81.19,692.26,56.63,2712266,334.71
mnist,83,2,35,32.456,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,98,0.98,97.83,98.9,82.16,695.67,76.64,2712266,336.04
mnist,84,2,35,82.227,"['0.057', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.008, 0.85]",9,50,1274,0.99,99.21,99.22,83.16,692.55,55.79,2712266,350.89
mnist,85,2,35,40.747,"['0.053', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,1274,0.99,99.05,99.19,84.15,692.84,59.75,2712266,351.74
mnist,86,2,35,58.699,"['0.056', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.9]",9,50,1323,0.99,98.75,99.09,85.13,693.05,58.56,2712266,353.12
mnist,87,2,35,65.752,"['0.054', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.02, 0.75]",9,50,49,0.99,99.2,99.2,86.13,692.12,56.17,2712266,361.03
mnist,88,2,35,54.553,"['0.055', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.8]",9,50,49,0.98,97.82,98.93,87.1,695.56,57.21,2712266,362.16
