dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
fashion_mst,76,2,35,87.207,"['0.065', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.04, 0.85]",9,50,196,0.9,90.48,90.98,66.44,706.6,146.87,2712266,372.14
fashion_mst,77,2,35,111.59,"['0.067', '0.050', '0.050', '0.069']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.007, 0.7]",9,50,196,0.86,85.83,89.95,67.3,720.27,234.54,2712266,373.52
fashion_mst,78,2,35,128.206,"['0.065', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.06, 0.8]",9,50,441,0.9,90.25,90.32,68.2,704.94,130.02,2712266,378.13
fashion_mst,79,2,35,96.14,"['0.065', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.03, 0.95]",9,50,441,0.9,90.07,90.27,69.1,701.42,111.37,2712266,379.19
fashion_mst,80,2,35,96.281,"['0.064', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.003, 0.7]",9,50,1225,0.91,91.06,91.12,70.01,704.12,114.83,2712266,389.53
fashion_mst,81,2,35,147.475,"['0.069', '0.050', '0.050', '0.072']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.001, 0.9]",9,50,1323,0.91,91.12,91.16,70.92,704.63,123.19,2712266,391.51
fashion_mst,82,2,35,102.305,"['0.073', '0.050', '0.050', '0.081']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.7]",9,50,1323,0.91,90.52,91.03,71.83,706.39,135.4,2712266,392.31
fashion_mst,83,2,35,121.076,"['0.067', '0.050', '0.050', '0.070']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.05, 0.9]",9,50,1323,0.9,89.71,90.77,72.72,703.85,125.57,2712266,393.12
fashion_mst,84,2,35,112.009,"['0.062', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.001, 0.95]",9,50,1323,0.86,85.99,89.81,73.58,717.61,223.33,2712266,394.01
fashion_mst,85,2,35,96.933,"['0.072', '0.050', '0.050', '0.079']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,1519,0.9,89.61,89.87,74.48,710.45,174.96,2712266,397.24
fashion_mst,86,2,35,102.207,"['0.073', '0.050', '0.050', '0.081']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.7]",9,50,392,0.91,90.7,90.94,75.39,702.96,101.95,2712266,407.27
fashion_mst,87,2,35,107.884,"['0.061', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.03, 0.9]",9,50,392,0.85,85.27,89.81,76.24,718.25,232.37,2712266,408.05
fashion_mst,88,2,35,132.726,"['0.064', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.06, 0.9]",9,50,441,0.89,89.04,89.68,77.13,701.45,112.37,2712266,409.57
fashion_mst,89,2,35,57.746,"['0.055', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.25, 0.008, 0.8]",9,50,1715,0.91,91.35,91.36,78.04,706.18,140.83,2712266,425.66
fashion_mst,90,2,35,52.288,"['0.056', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.25, 0.08, 0.75]",9,50,1715,0.9,89.93,91.08,78.94,706.47,141.1,2712266,426.54
fashion_mst,91,2,35,104.555,"['0.062', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.02, 0.95]",9,50,1764,0.9,89.77,90.72,79.84,706.65,131.04,2712266,427.94
fashion_mst,92,2,35,99.424,"['0.072', '0.050', '0.050', '0.080']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.9]",9,50,1764,0.89,89.49,90.47,80.74,702.68,107.72,2712266,428.82
